epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0886,1.55555,2.42504,1.62582,0.54119,0.78683,0.74002,0.45253,1.12253,5.36258,1.28395,0.00025722,0.00025722,0.00025722
2,17.876,1.21602,1.08181,1.26419,0.71117,0.90618,0.87651,0.56092,1.15338,2.041,1.32043,0.000518261,0.000518261,0.000518261
3,44.1085,1.2078,0.95022,1.26425,0.80367,0.9016,0.89277,0.58613,1.10155,1.03548,1.27592,0.00076855,0.00076855,0.00076855
4,51.023,1.18621,0.94977,1.24704,0.66575,0.82369,0.8853,0.56237,1.05967,1.09218,1.24863,0.00100809,0.00100809,0.00100809
5,57.7773,1.15387,0.89566,1.20835,0.69839,0.90276,0.86576,0.57872,1.08642,1.01896,1.25385,0.00123687,0.00123687,0.00123687
6,64.1862,1.16692,0.88869,1.21158,0.76097,0.8032,0.87477,0.57711,1.08611,1.1144,1.22492,0.00128753,0.00128753,0.00128753
